CBDmax_mean;CBDmax_std;THCmax_mean;THCmax_std;LeaflyStrain;Effects__Aroused;Effects__Creative;Effects__Energetic;Effects__Euphoric;Effects__Focused;Effects__Giggly;Effects__Happy;Effects__Hungry;Effects__Relaxed;Effects__Sleepy;Effects__Talkative;Effects__Tingly;Effects__Uplifted;Medical__Cramps;Medical__Depression;Medical__Eye Pressure;Medical__Fatigue;Medical__Headaches;Medical__Inflammation;Medical__Insomnia;Medical__Lack of Appetite;Medical__Muscle Spasms;Medical__Nausea;Medical__Pain;Medical__Seizures;Medical__Spasticity;Medical__Stress;Negatives__Anxious;Negatives__Dizzy;Negatives__Dry Eyes;Negatives__Dry Mouth;Negatives__Headache;Negatives__Paranoid
0.282805573;0.480097221;27.52380624;19.56451237;venom-og;;;;70.4193397;;50.80582069;50.90752621;;100;66.49976529;;;;;85.29090412;;;;;87.29855231;;;78.28462169;91.14995903;;;100;28.94219426;;80.06291781;100;9.437672041;31.00668502
0.13043172;0.108673543;30.23195097;24.36765366;very-berry-haze;;;;94.41687345;;;100;;97.08436725;;;81.14143921;96.65012407;;20.03231018;;80.69466882;;;;;;89.25686591;100;;;24.39418417;13.17073171;8.780487805;56.09756098;100;;8.780487805
0.047;0.09652379;21.37886;4.366095586;vietnamese-bubba;85.71428571;;85.71428571;;;;92.85714286;100;;;85.71428571;;;;;;;;;;;;;;;;;100;;8.333333333;8.333333333;;100
1.703727273;3.623371913;15.37225173;5.492966567;violator-kush;;;;57.13880649;;;52.61225499;;100;65.14424475;;;47.81524458;;69.97604692;;;57.93838275;;70.75080532;;;;76.82167341;;;100;28.21047112;47.90108465;53.38365578;100;;29.65942649
0.293732;0.288460161;16.370406;2.306320244;violet-delight;;;;54.50549451;;;100;;89.23076923;;37.36263736;;92.08791209;;88.53503185;;;;54.14012739;61.78343949;96.81528662;;;;;;100;;8.219178082;100;65.75342466;8.219178082;83.56164384
0.4385;0;15.0828;0;voodoo;;;;63.12292359;;;69.01993355;;65.7807309;100;;;54.9833887;;87.16049383;;84.9382716;;;73.58024691;;;67.03703704;100;;;;66.62883087;1.021566402;59.93189557;100;;20.88535755
1.797880132;8.386590284;36.54323355;24.08983866;vortex;;;100;;65.67905778;;80.75082812;;80.54839897;;;;79.72027972;;66.71440262;;;;;28.55973813;;50.81833061;;61.84533552;;;100;31.34889241;74.38686709;56.19066456;100;12.73734177;
0.351561677;1.534161003;26.70815949;16.7567595;walker-kush;;;;81.640625;;;83.59375;;97.265625;67.96875;;;100;;100;;84.92462312;;;48.74371859;82.4120603;;;63.81909548;;;;;3.048780488;50;100;3.048780488;
0.34;0;17.275;0.190918831;walrus-kush;;40;;;;60;100;40;;;;;40;;50;;;;;50;;;100;100;;;100;;;;100;25;
0.157855522;0.115382314;32.71123565;23.8963665;walter-white;;;57.71230503;43.847487;;;100;;85.78856153;;;;61.35181976;;85.17350158;;;;55.52050473;;42.9022082;;;64.3533123;;;100;0.873907615;0.873907615;100;23.72034956;;
